 餐馆 - 帮炒, 康卅Stamford 㚈卖店请熟手帮炒兼打杂，有住宿上网 ，有责任心能和同事好相处，工资3200，距纽约45分钟车程，有唐人巴士和火车到达，有意者电：9172385937, 康涅狄格州 - Connecticut,(917) 238-5937
 餐馆 - 企台," 需英文流利。
需面试。", 北卡罗来纳 - North Carolina,(401) 588-4985
 餐馆 - 打杂, 新奥尔良全日餐，请busser一名，要求吃苦耐劳，另请寿司师傅一名，要求有经验，（待遇好住单间），联系人赵先生，联系电话5048125588, 路易斯安那州 - Louisiana,(504) 812-5588
 餐馆 - 日餐厨师," Bento Sushi is hiring Sushi Food Prep Teammates in New Jersey! 

We offer group health benefits (for eligible teammates); opportunities for growth and skill building (we look forward to training you and teaching you the Bento secrets!); and fun events with your fellow coworkers, to name a few perks. We are also proud of our Bento Sushi Foundation which offers educational grants for our teammates and funding for other rewarding causes such as seafood sustainability and community involvement.

Please send your resume to careers@bentosushi.com or call 905-513-3873.

For more information, please visit our website at www.bentosushi.com
", 新泽西州 - New Jersey,(905) 513-0028
 餐馆 - 打杂, 诚请生手打杂一名，离纽约车程约20小时。, 密西西比州 - Mississippi,(917) 886-6852
 餐馆 - 帮炒, 康州Stamford 外卖店请熟手帮炒兼打杂，有住宿，工资3200，距纽约45分钟车程，有火车和唐人巴士到达，有意者电9172385937, 康涅狄格州 - Connecticut,(917) 238-5937
 餐馆 - 企台, 不抽烟，工作勤奋，不计较，有团队合作精神, 阿利桑那州 - Arizona,(917) 392-5530
 餐馆 - 打杂, 位于密西西比州诚请生手打杂一名，离纽约车程约20小时。, 密西西比州 - Mississippi,(917) 886-6852
 餐馆 - 夫妻工, 夫妻起台 想去外州的 这里是不错的选择 希望长期合作, 俄克拉荷马州 - Oklahoma,(918) 332-0984
 餐馆 - 夫妻工, 熟手帮炒，企台四个人打私产, 俄亥俄州 - Ohio,(419) 689-1898
 餐馆 - 寿司师傅, 佛州中日餐诚请寿司一手 工资电聊 住宿好  人事简单 工作轻松 有意请电718501-1799, 佛罗里达州 - Florida,(718) 501-1799
 餐馆 - 寿司师傅, 田纳西洲全日餐请有经验的寿司师傅，寿司一手，有意请致电615-668-6317, 田纳西州 - Tennessee,(615) 668-6317
 餐馆 - 企台, 田纳西洲日餐铁板店请生手，熟手企台，有想找一份稳定的工作，请致电6156686317, 田纳西州 - Tennessee,(615) 668-6317
 餐馆 - 炒锅, 勤劳肯做, 内布拉斯加州 - Nebraska,(917) 520-1229
 餐馆 - 打杂," 新泽西Exchange Place (离曼哈顿1个站）急招前台收银，抓码员工，工作简单，工作时间短，固定

无需经验，提供交通补贴。需懂基本英语，男女不限。

请电Jimmy 929-278 六四八五", 新泽西州 - New Jersey,(929) 278-6485
 餐馆 - 帮炒, 康卅Stamford 㚈卖店请熟手帮炒兼打杂，有住宿上网 ，有责任心能和同事好相处，工资3200，距纽约45分钟车程，有唐人巴士和火车到达，有意者电：9172385937, 康涅狄格州 - Connecticut,(917) 238-5937
 餐馆 - 企台," 需英文流利。
需面试。", 北卡罗来纳 - North Carolina,(401) 588-4985
 餐馆 - 打杂, 新奥尔良全日餐，请busser一名，要求吃苦耐劳，另请寿司师傅一名，要求有经验，（待遇好住单间），联系人赵先生，联系电话5048125588, 路易斯安那州 - Louisiana,(504) 812-5588
 餐馆 - 日餐厨师," Bento Sushi is hiring Sushi Food Prep Teammates in New Jersey! 

We offer group health benefits (for eligible teammates); opportunities for growth and skill building (we look forward to training you and teaching you the Bento secrets!); and fun events with your fellow coworkers, to name a few perks. We are also proud of our Bento Sushi Foundation which offers educational grants for our teammates and funding for other rewarding causes such as seafood sustainability and community involvement.

Please send your resume to careers@bentosushi.com or call 905-513-3873.

For more information, please visit our website at www.bentosushi.com
", 新泽西州 - New Jersey,(905) 513-0028
 餐馆 - 打杂, 诚请生手打杂一名，离纽约车程约20小时。, 密西西比州 - Mississippi,(917) 886-6852
 餐馆 - 帮炒, 康州Stamford 外卖店请熟手帮炒兼打杂，有住宿，工资3200，距纽约45分钟车程，有火车和唐人巴士到达，有意者电9172385937, 康涅狄格州 - Connecticut,(917) 238-5937
 餐馆 - 企台, 不抽烟，工作勤奋，不计较，有团队合作精神, 阿利桑那州 - Arizona,(917) 392-5530
 餐馆 - 打杂, 位于密西西比州诚请生手打杂一名，离纽约车程约20小时。, 密西西比州 - Mississippi,(917) 886-6852
 餐馆 - 夫妻工, 夫妻起台 想去外州的 这里是不错的选择 希望长期合作, 俄克拉荷马州 - Oklahoma,(918) 332-0984
 餐馆 - 夫妻工, 熟手帮炒，企台四个人打私产, 俄亥俄州 - Ohio,(419) 689-1898
 餐馆 - 寿司师傅, 佛州中日餐诚请寿司一手 工资电聊 住宿好  人事简单 工作轻松 有意请电718501-1799, 佛罗里达州 - Florida,(718) 501-1799
 餐馆 - 寿司师傅, 田纳西洲全日餐请有经验的寿司师傅，寿司一手，有意请致电615-668-6317, 田纳西州 - Tennessee,(615) 668-6317
 餐馆 - 企台, 田纳西洲日餐铁板店请生手，熟手企台，有想找一份稳定的工作，请致电6156686317, 田纳西州 - Tennessee,(615) 668-6317
 餐馆 - 炒锅, 勤劳肯做, 内布拉斯加州 - Nebraska,(917) 520-1229
 餐馆 - 打杂," 新泽西Exchange Place (离曼哈顿1个站）急招前台收银，抓码员工，工作简单，工作时间短，固定

无需经验，提供交通补贴。需懂基本英语，男女不限。

请电Jimmy 929-278 六四八五", 新泽西州 - New Jersey,(929) 278-6485
 餐馆 - 帮炒, 康卅Stamford 㚈卖店请熟手帮炒兼打杂，有住宿上网 ，有责任心能和同事好相处，工资3200，距纽约45分钟车程，有唐人巴士和火车到达，有意者电：9172385937, 康涅狄格州 - Connecticut,(917) 238-5937
 餐馆 - 企台," 需英文流利。
需面试。", 北卡罗来纳 - North Carolina,(401) 588-4985
 餐馆 - 打杂, 新奥尔良全日餐，请busser一名，要求吃苦耐劳，另请寿司师傅一名，要求有经验，（待遇好住单间），联系人赵先生，联系电话5048125588, 路易斯安那州 - Louisiana,(504) 812-5588
 餐馆 - 日餐厨师," Bento Sushi is hiring Sushi Food Prep Teammates in New Jersey! 

We offer group health benefits (for eligible teammates); opportunities for growth and skill building (we look forward to training you and teaching you the Bento secrets!); and fun events with your fellow coworkers, to name a few perks. We are also proud of our Bento Sushi Foundation which offers educational grants for our teammates and funding for other rewarding causes such as seafood sustainability and community involvement.

Please send your resume to careers@bentosushi.com or call 905-513-3873.

For more information, please visit our website at www.bentosushi.com
", 新泽西州 - New Jersey,(905) 513-0028
 餐馆 - 打杂, 诚请生手打杂一名，离纽约车程约20小时。, 密西西比州 - Mississippi,(917) 886-6852
 餐馆 - 帮炒, 康州Stamford 外卖店请熟手帮炒兼打杂，有住宿，工资3200，距纽约45分钟车程，有火车和唐人巴士到达，有意者电9172385937, 康涅狄格州 - Connecticut,(917) 238-5937
 餐馆 - 企台, 不抽烟，工作勤奋，不计较，有团队合作精神, 阿利桑那州 - Arizona,(917) 392-5530
 餐馆 - 打杂, 位于密西西比州诚请生手打杂一名，离纽约车程约20小时。, 密西西比州 - Mississippi,(917) 886-6852
 餐馆 - 夫妻工, 夫妻起台 想去外州的 这里是不错的选择 希望长期合作, 俄克拉荷马州 - Oklahoma,(918) 332-0984
 餐馆 - 夫妻工, 熟手帮炒，企台四个人打私产, 俄亥俄州 - Ohio,(419) 689-1898
 餐馆 - 寿司师傅, 佛州中日餐诚请寿司一手 工资电聊 住宿好  人事简单 工作轻松 有意请电718501-1799, 佛罗里达州 - Florida,(718) 501-1799
 餐馆 - 寿司师傅, 田纳西洲全日餐请有经验的寿司师傅，寿司一手，有意请致电615-668-6317, 田纳西州 - Tennessee,(615) 668-6317
 餐馆 - 企台, 田纳西洲日餐铁板店请生手，熟手企台，有想找一份稳定的工作，请致电6156686317, 田纳西州 - Tennessee,(615) 668-6317
 餐馆 - 炒锅, 勤劳肯做, 内布拉斯加州 - Nebraska,(917) 520-1229
 餐馆 - 打杂," 新泽西Exchange Place (离曼哈顿1个站）急招前台收银，抓码员工，工作简单，工作时间短，固定

无需经验，提供交通补贴。需懂基本英语，男女不限。

请电Jimmy 929-278 六四八五", 新泽西州 - New Jersey,(929) 278-6485
 餐馆 - 铁板烧学徒, 勤劳好学 , 北卡罗来纳 - North Carolina,(828) 467-5555
 餐馆 - 夫妻工, 电话里谈。, 密歇根州 - Michigan,(917) 373-9906
 餐馆 - 寿司师傅, 佛州全日餐，请sushi 师傅, 佛罗里达州 - Florida,(864) 905-6177
 餐馆 - 铁板烧师傅, 佛州全日餐，高新招聘厨房铁板师傅。, 佛罗里达州 - Florida,(864) 905-6177
 餐馆 - 接电话," 有英文，不busy店
距紐約一個小時", 纽约州 - New York,(646) 234-0990
 餐馆 - 企台, 住宿条件很好。一般英语。上网。报销机票。, 路易斯安那州 - Louisiana,(347) 443-3638
 餐馆 - 帮炒, 康卅Stamford 外卖店请熟手帮炒兼打杂，有住宿，工资3200，距纽约45分钟，有唐人巴士和火车到达，有意者电9172385937, 康涅狄格州 - Connecticut,(917) 238-5937
 餐馆 - 企台, 电联..., 密西西比州 - Mississippi,(917) 302-5056
 餐馆 - 前台收银," 長島餐館請收銀一名(長工) 
需懂英語, 廣東話, 國語
有意請電  917-257-6596 文太 
晚上 10點- 12點最佳
", 纽约州 - New York,(917) 257-6596
 餐馆 - 夫妻工, 有非诚勿扰，有意者请电3476369009, 马里兰州 - Maryland,(347) 636-9009
 餐馆 - 寿司助手, 小型日餐馆请sushi助手，待遇优厚，住宿环境良好。具体请电话联系, 爱达荷州 - Idaho,(208) 606-2772
 餐馆 - 打杂, 非诚勿扰 详情电谈7187919958, 纽约州 - New York,(718) 791-9958
 餐馆 - 打杂, 非诚勿扰 电话7187199958, 纽约州 - New York,(718) 791-9958
 餐馆 - 企台," 需要有堂吃经验
有意者请先短信！", 德克萨斯州 - Texas,(512) 540-6768
 餐馆 - 打杂, 佛州日餐请打杂, 佛罗里达州 - Florida,(864) 905-6177
 餐馆 - 洗碗, 佛州日餐店，请甜不辣，洗碗，需手脚麻利，白人区上班时间短, 佛罗里达州 - Florida,(864) 905-6177
 餐馆 - 企台, 熟手，不计较, 维吉尼亚州 - Virginia,(917) 566-3666
 餐馆 - 寿司助手, 佛州日餐，诚请sushi师傅，sushi二手 电话：8649056177, 佛罗里达州 - Florida,(864) 905-6177
